titulo,url,precio_pesos,precio_dolar,precio_dolar_blue,fecha
HISTORIAS DE DIVAN . DIEZ RELATOS DE VIDA,https://cuspide.com/producto/historias-de-divan-diez-relatos-de-vida/,16000.0,18.82,13.97,2024-02-10
EL VUELO DE LA LIBELULA,https://cuspide.com/producto/el-vuelo-de-la-libelula/,19599.0,23.06,17.12,2024-02-10
UNA FAMILIA ANORMAL,https://cuspide.com/producto/una-familia-anormal-5/,8999.0,10.59,7.86,2024-02-10
COMO HACER QUE TE PASEN COSAS BUENAS,https://cuspide.com/producto/como-hacer-que-te-pasen-cosas-buenas/,25000.0,29.41,21.83,2024-02-10
RESETEA TUS INTESTINOS,https://cuspide.com/producto/resetea-tus-intestinos/,14900.0,17.53,13.01,2024-02-10
TUS ZONAS ERRONEAS,https://cuspide.com/producto/tus-zonas-erroneas/,13399.0,15.76,11.7,2024-02-10
EL CAMINO DE LA ESCRITURA,https://cuspide.com/producto/el-camino-de-la-escritura/,19499.0,22.94,17.03,2024-02-10
LO BELLO Y LO TRISTE ( EDICION 2024 ),https://cuspide.com/producto/lo-bello-y-lo-triste-edicion-2024/,15900.0,18.71,13.89,2024-02-10
LAS MALAS - BOOKET VERANO 2023-2024,https://cuspide.com/producto/las-malas-booket-verano-2023-2024/,11500.0,13.53,10.04,2024-02-10
LOS SIETE MARIDOS DE EVELYN HUGO,https://cuspide.com/producto/los-siete-maridos-de-evelyn-hugo/,24300.0,28.59,21.22,2024-02-10
EL CAMINO DEL ARTISTA,https://cuspide.com/producto/el-camino-del-artista/,19499.0,22.94,17.03,2024-02-10
EL PRECIO DE LA PASION,https://cuspide.com/producto/el-precio-de-la-pasion-2/,12900.0,15.18,11.27,2024-02-10
LAS INDIGNAS,https://cuspide.com/producto/las-indignas/,11799.0,13.88,10.3,2024-02-10
LA NUEVA VEJEZ,https://cuspide.com/producto/la-nueva-vejez/,17999.0,21.18,15.72,2024-02-10
LA BAILARINA DE AUSCHWITZ,https://cuspide.com/producto/la-bailarina-de-auschwitz-2/,16100.0,18.94,14.06,2024-02-10
UNA LUNA SIN MIEL,https://cuspide.com/producto/una-luna-sin-miel/,13099.0,15.41,11.44,2024-02-10
PIENSA ESTRATEGICAMENTE,https://cuspide.com/producto/piensa-estrategicamente/,20965.0,24.66,18.31,2024-02-10
EL CAMINO DEL DESPERTAR,https://cuspide.com/producto/el-camino-del-despertar/,22000.0,25.88,19.21,2024-02-10
